Greg #,Greg (sort),BritDrama #,,Diplay Genre (BritDrama),Genre (BritDrama): filter terms,,Date of First Performance (BritDrama) (sort),Date of First Performance (BritDrama) (display),,Company of First Performance (BritDrama) (display),Company of First Performance (BritDrama): filter terms
1,1,[not in BritDrama],,n/a,,,,n/a,,n/a,
2,2,[not in BritDrama],,n/a,,,,n/a,,n/a,
3,3,in Supplementary List (vol. 1),,n/a,,,1514,1514 [c.1514],,n/a,
4,4,[not in BritDrama],,n/a,,,,n/a,,n/a,
5,5,[not in BritDrama],,n/a,,,,n/a,,n/a,
6,6,[not in BritDrama],,n/a,,,,n/a,,n/a,
7,7,19,,Moral,moral,,1535,1535 [early(?)] [1521-1537],,n/a,
8,8,[not in BritDrama],,n/a,,,,n/a,,n/a,
9,9,[not in BritDrama],,n/a,,,,n/a,,n/a,
10,10,[not in BritDrama],,n/a,,,,n/a,,n/a,
11,11,[not in BritDrama],,n/a,,,,n/a,,n/a,
12,12,[not in BritDrama],,n/a,,,,n/a,,n/a,
13,13,in Supplementary List (vol. 1),,n/a,,,1525,1525 [mid-1520s],,n/a,
14,14,in Supplementary List (vol. 1),,n/a,,,1528,1528 [late 1520s],,n/a,
14.5,14.5,1,,Moral,moral,,1533,1533 [Christmas or Shrovetide] [1533 or earlier],,n/a,
15,15,2,,Comedy,comedy,,1528,1528 [1519-1528],,n/a,
16,16,in Supplementary List (vol. 1),,n/a,,,1529,1529,,n/a,
17,17,in Supplementary List (vol. 1),,n/a,,,1496,1496 [1490s],,n/a,
18,18,in Supplementary List (vol. 1),,n/a,,,1496,1496 [1490s],,n/a,
19,19,in Supplementary List (vol. 1),,n/a,,,1530,1530 [c.1530],,n/a,
20,20,in Supplementary List (vol. 1),,n/a,,,1513,1513 [c.1513-1514],,n/a,
21,21,in Supplementary List (vol. 1),,n/a,,,1528,1528 [late 1520s],,n/a,
21.5,21.5,86,,Moral,moral,,1540,1540 [1537-1547],,n/a,
22,22,59,,Biblical,biblical play,,1538,1538,,n/a,
23,23,61,,Biblical,biblical play,,1538,1538,,n/a,
24,24,51,,Moral,moral,,1538,1538 [perhaps at New Year],,n/a,
25,25,207,,Moral,moral,,1550,1550 [1534-1562],,n/a,
not in Greg: STC 14109.2,25.5,208,,Moral,moral,,1550,1550 [1533-1553],,n/a,
26,26,in Supplementary List (vol. 1),,n/a,,,1520,1520 [c.1520],,n/a,
27,27,259,,Moral,moral,,1554,1554 [1554-1557],,n/a,
28,28,308,,Tragedy,tragedy,,1558,1558,,n/a,
29,29,330,,Tragedy,tragedy,,1560,1560 [Mar],,n/a,
30,30,285,,Moral,moral,,1556,1556 [1554-1558],,n/a,
31,31,203,,Moral,moral,,1550,1550 [1547-1553],,n/a,
32,32,331,,Folk Romance,romance,,1560,1560 ([May? Nov?] [1553-1569],,n/a,
33,33,in Supplementary List (vol. 1),,n/a,,,1529,1529,,n/a,
34,34,342,,Literary Tragedy,tragedy,,1561,1561,,n/a,
35,35,278,,Comedy,comedy,,1555,1555 [1553-1558],,n/a,
36,36,333,,Tragedy,tragedy,,1560,1560 [1560-1563],,n/a,
37,37,49,,Comedy,comedy,,1537,1537 [Oct] [1530-1537],,n/a,
38,38,408,,Moral,moral,,1565,"1565 [1537-1538, 1559-1565]",,n/a,
39,39,351,,Tragedy,tragedy,,1562,1562 [Jan],,n/a,
40,40,410,,Moral,moral,,1565,1565 [1558-1565],,n/a,
41,41,221,,Moral,moral,,1551,1551 [1550-1553],,n/a,
42,42,415,,Tragedy,tragedy,,1566,1566 [Feb],,n/a,
43,43,421,,Moral,moral,,1566,1566 [1559-1566],,n/a,
44,44,422,,Tragedy,tragedy,,1566,1566 [Jun],,n/a,
45,45,425,,Tragedy,tragedy,,1566,1566 [summer],,n/a,
46,46,234,,Comedy,comedy,,1552,1552 [1550-1553],,n/a,
47,47,209,,Moral,moral,,1550,"1550 [1547-1553, 1558-1562]",,n/a,
48,48,451,,Tragedy,tragedy,,1567,1567 [1559-1567],,n/a,
49,49,446,,Moral,moral,,1567,1567 [1563-1567],,n/a,
50,50,472,,Moral,moral,,1568,1568 [Sep] [1562-1568],,n/a,
51,51,251,,Biblical,biblical play,,1553,1553 [1553-1557],,n/a,
52,52,350,,Moral,moral,,1561,1561 [1558-1566],,n/a,
53,53,477,,Moral,moral,,1569,1569 [Apr] [1559-1569],,n/a,
