deep_id	greg	stc	author_name	title12	11a	22607	Skelton, John	Magnificence
17	15a	13305	Heywood, John	The Play of the Weather
18	15b	13305.5	Heywood, John	The Play of the Weather
19	15c	13306	Heywood, John	The Play of the Weather
20	15d	13307	Heywood, John	The Play of the Weather
21	16a	13303	Heywood, John	A Play of Love
27	21a	13300	Heywood, John	The Four P's
28	21b	13301	Heywood, John	The Four P's
31	22a	1305	Bale, John	The Chief Promises of God unto Man (God's Promises)
32	22b	1306	Bale, John	The Chief Promises of God unto Man (God's Promises)
33	23a	1279	Bale, John	The Temptation of Our Lord and Savior Christ by Satan
34	24a	1287	Bale, John	The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists
35	24b	1288	Bale, John	The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists
40	28a	22227	Heywood, Jasper	Troas
40	28a	22227	Seneca	Troas
41	28b	22227a	Heywood, Jasper	Troas
41	28b	22227a	Seneca	Troas
42	28c	22228	Heywood, Jasper	Troas
42	28c	22228	Seneca	Troas
43	29a	22226	Heywood, Jasper	Thyestes
43	29a	22226	Seneca	Thyestes
51	34a	22223	Heywood, Jasper	Hercules Furens
51	34a	22223	Seneca	Hercules Furens
55	36a*	22225	Seneca	Oedipus
55	36a*	22225	Neville, Alexander	Oedipus
56	36a†	22225	Seneca	Oedipus
56	36a†	22225	Neville, Alexander	Oedipus
59	39a	18684	Norton, Thomas	Ferrex and Porrex (Gorboduc)
59	39a	18684	Sackville, Thomas	Ferrex and Porrex (Gorboduc)
61	39c	17029 (pt. 2)	Norton, Thomas	Ferrex and Porrex (Gorboduc)
61	39c	17029 (pt. 2)	Sackville, Thomas	Ferrex and Porrex (Gorboduc)
67	42a	22222	Seneca	Agamemnon
67	42a	22222	Studley, John	Agamemnon
69	44a	22224	Seneca	Medea
69	44a	22224	Studley, John	Medea
70	45a	22229	N., T.	Octavia
72	47a*	24932	Wager, Lewis	The Life and Repentance of Mary Magdalene
73	47a†	24932a	Wager, Lewis	The Life and Repentance of Mary Magdalene
74	48a	19917	Pickering, John	The Interlude of Vice (Orestes)
76	50a	11473	Fulwel, Ulpian	Like Will to Like
77	50b	11473.5	Fulwel, Ulpian	Like Will to Like
78	50c	11474	Fulwel, Ulpian	Like Will to Like
81	52a	19865	Phillip, John	Patient and Meek Grissel
82	53a	24935	Wager, W.	The Longer Thou Livest the More Fool Thou Art
83	54a	14085	Ingelend, Thomas	The Disobedient Child
85	56a	20287	Preston, Thomas	Cambises
87	56b	20288	Preston, Thomas	Cambises
88	57a	24933	Wager, W.	Enough Is as Good as a Feast
89	58a	7514	Edwards, Richard	Damon and Pithias
90	58b	7515	Edwards, Richard	Damon and Pithias
92	63a	18419	Cheeke, Henry	Free-Will
92	63a	18419	B., F. N.	Free-Will
93	64a	18550	N., H.	An Interlude of Minds
94	65a	1059	B., R.	Appius and Virginia
594	312a	17904	Middleton, Thomas	The Entertainment on Michaelmas Day 1613 (The Running Stream Entertainment) (The New River Entertainment)
5013		5233	Churchyard, Thomas	The First Part of Churchyard's Chips
5020		11340	Fraunce, Abraham	The Countess of Pembroke's Ivychurch
95	67a	23263	S., Mr	Gammer Gurton's Needle
96	68a(i)	11643a	Gascoigne, George	The Glass of Government
97	68a(ii)	11643	Gascoigne, George	The Glass of Government
98	68a(iii)	11643	Gascoigne, George	The Glass of Government
101	70a	25018	Wapull, George	The Tide Tarrieth No Man
102	71a	2047	G., A.	Abraham's Sacrifice
102	71a	2047	Beza, Theodore	Abraham's Sacrifice
103	72a	16949	Lupton, T.	All for Money
106	76a	5226	Churchyard, Thomas	The Entertainment in Suffolk and Norfolk
107	76.5a	11632.5	Garter, Thomas	The Most Virtuous and Godly Susanna
108	77a	11990	Goldwel, Henry	The Entertainment of the French Ambassadors (The Fortress of Perfect Beauty)
109	78ai	25966	Woodes, Nathaniel	The Conflict of Conscience
110	78aii	25966.5	Woodes, Nathaniel	The Conflict of Conscience
119	85a	25784	W., R.	The Three Ladies of London
120	85b	25785	W., R.	The Three Ladies of London
126	91a	23895	Terence	Andria
126	91a	23895	Kyffin, Maurice	Andria
128	93a	25783	W., R.	The Three Lords and Three Ladies of London
131	96a	18423	Nelson, Thomas	The Pageant for John Allot
5102		17471	Marston, John	The Works
134	100a	19532	Peele, George	Descensus Astraeae
138	104a*	25764	W., R.	Tancred and Gismund (Gismond of Salerne)
139	104a†	25764a	W., R.	Tancred and Gismund (Gismond of Salerne)
5172.02	593a	n/a	Shirley, James	1 Saint Patrick for Ireland
