deep_id,work_id,edition_id
5000.01,1,1
5000.02,2,2
1,3,3
2,3,4
3,3,5
4,4,6
5,4,7
6,4,8
7,4,9
8,5,10
9,6,11
10,7,12
5001.01,8,13
5001.02,9,14
11,10,15
12,11,16
13,12,17
14,13,18
15,14,19
16,14.5,20
17,15,21
18,15,22
19,15,23
20,15,24
21,16,25
22,16,26
5002.01,17,27
5002.02,18,28
23,19,29
24,20,30
25,20,31
26,20,32
27,21,33
28,21,34
29,21,35
30,21.5,36
31,22,37
32,22,38
33,23,39
34,24,40
35,24,41
36,25,42
37,26,43
38,26.5,44
39,27,45
40,28,46
41,28,47
42,28,48
5015.06,28,49
43,29,50
5015.02,29,51
44,30,52
45,30,53
46,31,54
49,31,55
5003.01,32,56
5004.01,32,57
50,33,58
51,34,59
5015.01,34,60
52,35,61
53,35,62
54,35,63
55,36,64
56,36,64
5015.05,36,65
57,37,66
58,38,67
59,39,68
60,39,69
5005.01,39,69
61,39,70
5016.01,39,70
62,40,71
63,40,72
65,41,73
66,41,74
64,41,75
67,42,76
5015.08,42,77
68,43,78
69,44,79
5015.07,44,80
70,45,81
5015.09,45,82
71,46,83
72,47,84
73,47,84
74,48,85
75,49,86
76,50,87
77,50,88
78,50,89
79,51,90
80,51,91
81,52,92
82,53,93
83,54,94
84,55,95
85,56,96
87,56,97
86,56,98
88,57,99
89,58,100
90,58,101
91,59,102
5006.01,60,103
5007.02,60,104
5009.02,60,105
5006.02,61,106
5007.03,61,107
5009.03,61,108
5006.03,62,109
5007.01,62,110
5009.01,62,111
92,63,112
93,64,113
94,65,114
5011.01,66,115
5013.01,66,116
95,67,117
96,68,118
97,68,118
98,68,118
99,69,119
100,69,120
101,70,121
102,71,122
103,72,123
5014.01,73,124
5014.02,74,125
104,75,126
105,75,127
106,76,128
107,76.5,129
108,77,130
109,78,131
110,78,131
5015.03,79,132
5015.04,80,133
5015.10,81,134
111,82,135
112,82,136
113,82,137
5098.03,82,138
5098.04,82,138
114,83,139
115,84,140
116,84,141
117,84,142
118,84,143
5098.02,84,144
119,85,145
120,85,146
121,86,147
122,87,148
123,88,149
124,89,150
125,90,151
5009.04,90,152
126,91,153
127,92,154
128,93,155
5017.01,94,156
5018.01,94,157
5019.01,94,158
129,94,159
5017.02,95,160
5018.02,95,161
5019.02,95,162
130,95,163
131,96,164
5020.01,97,165
132,98,166
133,99,167
5098.01,99,168
134,100,169
5021.01,101,170
5022.01,101,171
5023.01,101,172
135,102,173
5021.02,102,173
5022.02,102,174
5023.02,102,175
136,103,176
137,103,177
138,104,178
139,104,178
140,105,179
5098.05,105,180
141,106,181
5098.06,106,182
142,107,183
143,107,184
144,107,185
145,107,185
5024.01,108,186
146,108,187
147,109,188
148,109,189
149,109,189
150,110,190
151,110,191
152,110,192
153,110,193
154,110,194
155,110,195
156,110,196
157,110,196
158,110,197
159,110,198
160,110,198
161,110,199
5026.01,111.1,200
5026.02,111.2,201
5026.03,111.3,202
162,112,203
163,112,204
164,113,205
165,113,206
166,114,207
167,114,208
168,115,209
169,116,210
170,116,210
171,117,211
172,117,212
173,117,213
5081.27,117,214
5082.27,117,215
174,118,216
175,118,217
176,118,218
177,118,219
178,118,220
179,119,221
180,119,222
5077.01,119,223
5081.21,119,224
5082.21,119,225
181,120,226
182,120,227
183,120,228
5081.11,120,229
184,120,230
5082.11,120,231
185,121,232
186,121,233
187,121,234
188,122,235
189,123,236
190,123,237
191,124,238
192,125,239
193,125,240
5098.07,125,241
5098.08,125,241
194,126,242
195,127,243
196,128,244
197,129,245
198,129,246
199,129,247
200,129,247
201,129,248
202,129,248
203,130,249
204,130,249
205,131,250
5027.01,132,251
5028.01,132,252
5029.01,132,253
206,132,254
5047.01,132,254
5054.01,132,255
5063.01,132,256
5064.02,132,257
5064.03,132,257
5065.03,132,258
5065.04,132,258
5079.05,132,259
207,133,260
208,134,261
209,135,262
210,136,263
211,137,264
212,138,265
213,138,266
5077.02,138,267
5081.22,138,268
5082.22,138,269
214,139,270
215,140,271
216,140,272
217,141,273
218,141,274
219,141,275
220,141,276
221,141,276
222,141,277
5081.16,141,278
5082.16,141,279
223,141,280
224,141,280
225,142,281
226,142,282
227,142,283
228,142,284
229,142,285
230,142,286
5081.23,142,287
231,142,288
5082.23,142,289
232,142,290
233,143,291
234,143,292
235,143,293
5081.28,143,294
236,143,295
237,143,295
5082.28,143,296
238,143,297
239,144,298
240,145,299
241,145,300
242,145,301
243,145,302
244,145,303
245,145,304
246,145,305
5081.17,145,306
247,145,307
5082.17,145,308
248,145,309
249,146,310
5147.01,146,310
250,147,311
251,147,311
252,148,312
253,148,313
254,148,313
255,149,314
256,150,315
5081.07,150,316
257,150,317
5082.07,150,318
258,151,319
259,151,320
260,151,321
261,151,322
262,151,323
263,151,324
264,151,325
265,151,326
266,151,327
267,151,328
268,151,329
269,151,330
270,151,331
271,151,332
272,151,333
273,151,334
5030.01,152,335
5031.01,152,336
5032.01,152,337
5034.01,152,338
5036.01,152,339
5041.01,152,340
5044.01,152,341
5045.01,152,342
5046.01,152,343
5048.01,153,344
5049.01,153,345
5050.01,153,346
5051.01,153,347
5052.01,153,348
5053.01,153,349
5048.02,154,350
5049.02,154,351
5050.02,154,352
5051.02,154,353
5052.02,154,354
5053.02,154,355
274,155,356
275,156,357
276,157,358
277,158,359
278,159,360
279,159,360
5147.02,159,360
280,160,361
281,161,362
282,161,363
283,162,364
284,163,365
285,163,366
286,163,367
5074.02,163,368
5074.03,163,368
5074.04,163,368
5074.05,163,368
5076.02,163,369
287,164,370
288,165,371
289,165,372
290,165,373
5081.19,165,374
5082.19,165,375
291,166,376
292,166,377
293,167,378
294,167,378
5081.18,167,379
5082.18,167,380
295,168,381
5081.06,168,382
5082.06,168,383
296,169,384
297,170,385
298,170,386
5081.08,170,387
5082.08,170,388
299,171,389
300,171,390
301,172,391
302,172,392
5081.09,172,393
5082.09,172,394
303,172,395
304,172,395
305,173,396
306,174,397
307,175,398
308,175,399
309,175,400
310,175,401
311,175,402
312,175,403
313,176,404
5074.01,176,405
5076.01,176,406
314,177,407
315,177,408
316,177,408
317,178,409
318,179,410
319,180,411
320,181,412
321,181,412
5074.06,181,413
5074.07,181,413
5076.03,181,414
322,182,415
323,183,416
324,183,417
325,184,418
5148.06,184,418
5102.01,184,419
326,185,420
5148.07,185,420
5102.02,185,421
5102.03,185,421
327,186,422
5074.08,186,423
5074.09,186,423
5074.10,186,423
5076.04,186,424
328,187,425
329,187,426
5081.03,187,427
330,187,428
5082.03,187,429
331,188,430
332,189,431
333,189,432
334,190,433
335,191,434
336,191,435
337,191,436
338,191,437
339,191,438
340,191,439
341,191,440
342,192,441
5056.01,193,442
5056.02,194,443
343,195,444
344,195,444
345,196,445
346,196,446
5060.02,196,446
5062.02,196,447
5106.02,196,448
347,197,449
348,197,450
349,197,450
350,197,451
351,197,452
5081.32,197,453
5082.32,197,454
352,197,455
353,198,456
354,199,457
355,199,458
5059.01,200,459
5074.17,200,460
5076.10,200,461
5059.02,201,462
5074.18,201,463
5076.11,201,464
356,202,465
357,202,466
358,202,467
359,203,468
5148.01,203,468
360,203,469
361,203,470
362,204,471
363,204,472
364,204,473
365,204,474
366,204,474
367,204,474
368,204,475
369,205,476
370,205,477
371,205,478
372,205,479
373,205,480
374,205,481
375,205,482
376,205,483
377,205,484
378,206,485
379,207,486
380,207,487
5079.04,207,488
381,208,489
382,208,490
5060.01,209,491
5062.01,209,492
5106.01,209,493
383,210,494
384,210,494
385,211,495
386,212,496
387,212,497
388,212,498
389,212,499
390,213,500
391,214,501
5148.03,214,501
5102.11,214,502
5102.12,214,502
392,215,503
393,215,504
394,215,505
395,215,505
396,215,506
397,215,507
398,215,508
399,215,509
400,215,510
401,216,511
5074.11,216,512
5076.05,216,513
402,217,514
403,217,514
404,217,515
405,217,516
406,218,517
407,219,518
5147.03,219,518
408,220,519
409,221,520
410,222,521
411,223,522
5063.02,223,522
5067.01,223,523
5064.01,223,524
5065.01,223,525
5065.02,223,525
5079.01,223,526
412,224,527
413,224,527
414,224,528
415,224,529
416,224,530
417,225,531
418,225,532
419,226,533
5147.05,226,533
420,227,534
5064.04,227,535
5065.05,227,536
5079.03,227,537
421,228,538
422,228,539
423,228,539
424,228,539
425,229,540
426,230,541
5148.05,230,541
427,230,542
5102.09,230,543
5102.10,230,543
428,231,544
429,231,544
5148.04,231,544
5102.04,231,545
5102.05,231,545
430,232,546
431,232,546
432,232,546
433,233,547
434,234,548
435,234,549
436,234,550
437,234,551
438,234,552
439,234,553
440,234,553
441,234,554
442,235,555
443,235,555
444,235,556
445,236,557
446,236,557
447,236,557
448,236,557
5147.04,236,557
449,237,558
5074.24,237,559
5076.17,237,560
450,238,561
451,239,562
452,239,563
453,239,564
454,239,565
455,239,566
456,239,567
457,239,567
458,240,568
459,240,568
460,241,569
461,242,570
462,242,571
463,242,572
464,243,573
465,243,574
466,244,575
467,244,576
468,245,577
469,245,577
470,245,578
471,245,578
472,246,579
473,246,579
5147.06,246,579
474,246,580
475,246,580
476,246,580
477,246,580
478,247,581
479,247,582
480,247,583
481,247,584
482,248,585
483,248,585
484,249,586
485,249,587
486,249,588
487,249,589
488,250,590
489,251,591
490,252,592
5148.02,252,592
5102.06,252,593
5102.07,252,593
5102.08,252,593
491,253,594
492,253,594
493,254,595
494,254,595
495,255,596
496,255,597
497,255,598
498,255,599
499,256,600
500,256,601
501,257,602
502,258,603
503,258,604
504,259,605
505,259,605
5074.12,259,606
5076.06,259,607
5061.01,260,608
5061.02,260,608
5062.03,260,609
5106.03,260,610
5061.03,261,611
5062.04,261,612
5106.04,261,613
506,262,614
507,262,614
508,262,615
509,263,616
510,263,616
511,264,617
512,264,618
513,264,619
514,264,620
515,264,621
516,264,622
517,265,623
518,265,624
5081.33,265,625
5082.33,265,626
519,265,627
520,266,628
521,267,629
522,268,630
5068.01,269,631
5074.22,269,632
5076.15,269,633
5068.02,270,634
5074.23,270,635
5076.16,270,636
5068.03,271,637
5074.25,271,638
5076.18,271,639
523,272,640
524,272,641
525,273,642
526,273,643
527,273,644
528,273,645
529,273,646
5069.01,274,647
5070.01,274,648
5069.02,275,649
5070.02,275,650
530,276,651
531,276,652
532,277,653
533,277,653
534,277,653
535,277,654
536,278,655
537,278,655
5101.02,278,656
538,279,657
539,279,657
5081.25,279,658
5082.25,279,659
540,280,660
5074.26,280,661
5076.19,280,662
541,281,663
542,281,663
543,281,663
544,282,664
545,283,665
546,284,666
547,284,667
548,284,668
5077.03,284,669
549,284,670
550,284,670
551,284,671
552,285,672
553,286,673
554,286,674
555,287,675
556,287,676
557,287,677
558,287,678
559,288,679
