deep_id	collection	greg_full	work_id
1		3a	3
2		3b	3
3		3c	3
4		4a	4
5		4b	4
6		4c	4
7		4d	4
8		5a	5
9		6a	6
10		7a	7
11		10a	10
12		11a	11
13		12a	12
14		13a	13
15		14a	14
16		14.5a	14.5
17		15a	15
18		15b	15
19		15c	15
20		15d	15
21		16a	16
22		16b	16
23		19a	19
24		20a	20
25		20b	20
26		20c	20
27		21a	21
28		21b	21
29		21c	21
30		21.5a	21.5
31		22a	22
32		22b	22
33		23a	23
34		24a	24
35		24b	24
36		25a	25
37		26a	26
38			26.5
39		27a	27
40		28a	28
41		28b	28
42		28c	28
43		29a	29
44		30a	30
45		30b	30
46		31a	31
49		31b	31
50		33a	33
51		34a	34
52		35a	35
53		35b	35
54		35c	35
55		36a*	36
56		36a(†)	36
57		37a	37
58		38a	38
59		39a	39
60		39b	39
61		39c	39
62		40a	40
63		40b	40
64		41c	41
65		41a	41
66		41b	41
67		42a	42
68		43a	43
69		44a	44
70		45a	45
71		46a	46
72		47a*	47
73		47a(†)	47
74		48a	48
75		49a	49
76		50a	50
77		50b	50
78		50c	50
79		51a	51
80		51a	51
81		52a	52
82		53a	53
83		54a	54
84		55a	55
85		56a	56
86		56c	56
87		56b	56
88		57a	57
89		58a	58
90		58b	58
91		59a	59
92		63a	63
93		64a	64
94		65a	65
95		67a	67
96		68a(i)	68
97		68a(ii)	68
98		68a(iii)	68
99		69a	69
100		69b	69
101		70a	70
102		71a	71
103		72a	72
104		75a	75
105		75b	75
106		76a	76
107		76.5a	76.5
108		77a	77
109		78ai	78
110		78aii	78
111		82a	82
112		82b	82
113		82c	82
114		83a	83
115		84a	84
116		84b	84
117		84c	84
118		84d	84
119		85a	85
120		85b	85
121		86a	86
122		87a	87
123		88a	88
124		89a	89
125		90	90
126		91a	91
127		92a	92
128		93a	93
129		94d	94
130		95d	95
131		96a	96
132		98(a)	98
133		99a	99
134		100a	100
135		102a	102
136		103π	103
137		103a	103
138		104a(*)	104
139		104a(†)	104
140		105a	105
141		106a	106
142		107a	107
143		107b	107
144		107c(*)	107
145		107c(†)	107
146		108b	108
147		109a	109
148		109b(i)	109
149		109b(ii)	109
150		110a	110
151		110b	110
152		110c	110
153		110d	110
154		110e	110
155		110f	110
156		110g(*)	110
157		110g(†)	110
158		110h	110
159		110i(*)	110
160		110i(†)	110
161		110j	110
162		112a	112
163		112b	112
164		113a	113
165		113b	113
166		114a	114
167		114b	114
168		115a	115
169		116a(i)	116
170		116a(ii)	116
171		117a	117
172		117b	117
173		117c	117
174		118a	118
175		118b	118
176		118c	118
177		118d	118
178		118e	118
179		119a	119
180		119b	119
181		120a	120
182		120b	120
183		120c	120
184		120e	120
185		121a	121
186		121b	121
187		121c	121
188		122a	122
189		123a	123
190		123b	123
191		124a	124
192		125a	125
193		125b	125
194		126a	126
195		127a	127
196		128a	128
197		129a	129
198		129b	129
199		129c(*)	129
200		129c(†)	129
201		129d(*)	129
202		129d(†)	129
203		130a(i)	130
204		130a(ii)	130
205		131a	131
206		132d	132
207		133a	133
208		134a	134
209		135a	135
210		136a	136
211		137a	137
212		138a	138
213		138b	138
214		139a	139
215		140a	140
216		140b	140
217		141a	141
218		141b	141
219		141c	141
220		141d(*)	141
221		141d(†)	141
222		141e	141
223		141h(*)	141
224		141h(†)	141
225		142a	142
226		142b	142
227		142c	142
228		142d	142
229		142e	142
230		142f	142
231		142h	142
232		142j	142
233		143a	143
234		143b	143
235		143c	143
