work_id	stationer_entries_in_register
1	None
2	None
3	"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Hicke Skorner""."
4	None
5	None
6	None
7	None
8	None
9	None
10	None
11	None
12	None
13	None
14	None
14.5	None
15	"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes The weather""."
16	"c. Apr-May, 1563: Entered to Thomas Colwell: ""these ballett<i>es</i> folowynge / ... of loue"".<br />Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Love""."
17	None
18	None
19	None
20	"c. Aug-Sep, 1557: Entered to John Walley: ""these bokes Called ... youghte charyte and humylyte"".<br />Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... youthe""."
21	"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... iiijP""."
21.5	None
22	None
23	None
24	"c. Aug, 1562: Entered to Thomas Colwell: ""a Comyde or interlude of m<sup>r</sup> Iohn Bale""."
25	None
26	None
26.5	None
27	"c. Aug-Sep, 1557: Entered to John Walley: ""these bokes Called Welth and helthe""."
28	"c. Jan 14, 1559: Entered to Richard Tottell: ""a treat<i>es</i> of senaca""."
29	None
30	"Jun 10, 1560: Entered to John King: ""these Copyes ... impaciens poverte"".<br />Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... ympacient pou<i>er</i>tie""."
31	"Jun 10, 1560: Entered to John King: ""these Copyes ... nyce wanton""."
32	"Nov(?) 30, 1560: Entered to William Copland: ""a new Playe Called [<i>blank</i>]"" (title omitted)."
33	"c. Jan-Feb, 1561: Entered to William Pickering: ""a playe of quene hester""."
34	None
35	"c. Nov, 1562: Entered to William Copland: ""an interlude intituled Iack Iuggeler & m<sup>rs</sup> boundgrace""."
36	"c. Mar, 1563: Entered to Thomas Colwell: ""a boke intituled the lamentable history of the prynnce oedypus &c""."
37	None
38	"c. Aug, 1565: Entered to Thomas Colwell: ""a play intituled a mery playe bothe pytthy and pleasaunt of albyon knyghte""."
39	"c. Sep, 1565: Entered to William Griffith: ""A Tragie [<i>sic</i>] of gorboduc where iij act<i>es</i> were wretten by Thomas norton and the laste by Thomas Sackvyle &c""."
40	"c. Oct, 1565: Entered to Thomas Colwell: ""a playe intituled of the story of king Daryous beyinge taken oute of the iii<sup>de</sup> & iiij<sup>th</sup> chapeter of the iij<sup>de</sup> boke of Esdras &c""."
41	"Aug 14, 1560: Entered to John King: ""a playe Called Iuventus""."
42	"c. Feb, 1566: Entered to Thomas Colwell: ""a boke intituled the eighte Tragide of Senyca""."
43	"c. Mar, 1566: Entered to Thomas Colwell: ""a ballet intituled an interlude the Cruell Detter by Wager""."
44	"c. Jun, 1566: Entered to Thomas Colwell: ""a boke intituled the tragedy of Seneca media by Iohn Studley of trenety Colledge in cambryge""."
45	"Jul 22-Aug 20, 1566: Entered to Henry Denham: ""a boke intituled the ix<sup>th</sup> and x<sup>th</sup> tragide of lucious Anneus oute of the laten into englesshe by T W fellowe of pembrek hall in chambryge""."
46	"c. Oct, 1566: Entered to Thomas Hacket: ""a play intituled Rauf Ruyster Duster &c""."
47	"c. Dec-Jan, 1567: Entered to John Charlewood: ""an interlude of the Repentaunce of mary magdalen &c""."
48	None
49	None
50	"c. Sep, 1568: Entered to John Allde: ""a play lyke Wyll to lyke q<sup>d</sup> the Devell to the Collyer"".<br />Apr 22, 1640: Transferred from Elizabeth Allde decd. to Richard Oulton: ""saluo Iure cuiuscunq<i>ue</i> ... Like to like. quoth the divell to the Collier."""
51	"c. Oct-Nov, 1557: Entered to Henry Sutton: ""an enterlude vpon the history of Iacobe and Esawe out of the xxvij chapeter of the fyrste boke of moyses Called genyses""."
52	"c. Apr, 1566: Entered to Thomas Colwell: ""an history of meke and pacyent gresell"".<br />c. Feb, 1569: Entered to Thomas Colwell: ""the history of payciente gresell &c""."
53	"c. Apr, 1569: Entered to Richard Jones: ""a ballett the lenger thou leveste the more ffoole thow""."
54	"c. Aug, 1569: Entered to Thomas Colwell: ""an enterlude for boyes to handle & to passe tyme at christinmas""."
55	"c. Aug, 1569: Entered to Thomas Marsh: ""a play intituled the maryage of Wytt and Scyence"".<br />Jun 23(?), 1591: Transferred from Edward Marsh to Thomas Orwin: ""In 8<sup>o</sup> in English /The mariage of wyt & wisdome""."
56	"c. Sep-Oct, 1569: Entered to John Allde: ""an enterlude a lamentable Tragedy full of pleasaunt myrth""."
57	None
58	"Jul 22(?), 1567: Entered to Richard Jones: ""a boke intituled y<sup>e</sup> tragecall comodye of Damonde and pethyas""."
59	None
60	None
61	None
62	None
63	"May 11, 1561: Entered to John Tisdale: ""ij bokes ... and the other of frewill""."
64	None
65	"c. Oct, 1567: Entered to Richard Jones: ""a Tragedy of Apius & virginie""."
66	None
67	"c. Jan, 1563: Entered to Thomas Colwell: ""a playe intituled dyccon of dedlam &c""."
68	"Nov 6, 1598: Entered to William Wood: ""j Gascoynes woorkes w<sup>th</sup> steele glasse""."
69	"Jul 26, 1576: Entered to John Hunter: ""a newe and pleasant comedie or plaie after the man<i>er</i> of com<i>m</i>on condyc<i>i</i>ons""."
70	"Oct 22, 1576: Entered to Hugh Jackson: ""an Enterlude intituled The tide tariethe noe man""."
71	None
72	"Nov 25, 1577: Entered to Roger Ward: ""an enterlude intituled all for money""."
73	"Jul 31, 1578: Entered to Richard Jones: ""the famous historie of Promos and Cassandra Devided into twoe Comicall discourses Compiled by George whetstone gent<i>leman</i>""."
74	"Jul 31, 1578: Entered to Richard Jones: ""the famous historie of Promos and Cassandra Devided into twoe Comicall discourses Compiled by George whetstone gent<i>leman</i>""."
75	"Aug 30, 1578: Entered to Henry Bynneman: ""the ioyfull Receavinge of the Quenes ma<sup>tie</sup> into Norwyche."""
76	"Sep 20, 1578: Entered to Henry Bynneman: ""the enterteignem<sup>t</sup> of the .Q. Ma<sup>tie</sup>. in Suff<i>olk</i> and Norff<i>olk</i>. gathered by Tho. Churchyard."""
76.5	"c. Apr-May, 1563: Entered to Thomas Colwell: ""these ballett<i>es</i> folowynge / ... of the godly & co<i>n</i>stante wyse Susan<i>n</i>na [<i>sic</i>]"".<br />c. Jan, 1569: Entered to Thomas Colwell: ""y<sup>e</sup> playe of susanna""."
77	"Jul 1, 1581: Entered to Robert Waldegrave: ""The Tryvmphe Shewed before the Queene and the ffrenche Embassadors""."
78	None
79	"c. May, 1571: Entered to Thomas Colwell: ""iij<sup>de</sup> p<i>ar</i>t of herculus oote""."
80	"c. Jan, 1567: Entered to Henry Denham: ""the iiij<sup>th</sup> p<i>ar</i>te seneca Workes"".<br/>Aug 31, 1579: Transferred from Henry Denham to Richard Jones and John Charlewood: ""The fourthe Tragedie of Seneca."""
81	"Jul 22-Aug 20, 1566: Entered to Henry Denham: ""a boke intituled the ix<sup>th</sup> and x<sup>th</sup> tragide of lucious Anneus oute of the laten into englesshe by T W fellowe of pembrek hall in chambryge"".<br />c. May, 1571: Entered to Thomas Colwell: ""iij<sup>de</sup> p<i>ar</i>t of herculus oote"". (There may be an error here: the third tragedy of Seneca is <i>Thebais</i>, and this may be what was intended.)"
82	"Apr 6, 1584: Entered to Thomas Cadman: ""yf he gett y<sup>e</sup> com<i>m</i>edie of sappho laufully alowed vnto him. Then non<i>n</i>e of this cu<i>m</i>panie shall Interrupt him to enioye yt"".<br />Apr 12, 1597: Transferred from Thomas Cadman (decd?) to Joan Broome: ""Sapho & phao.""<br />Aug 23, 1601: Transferred from Joan Broome decd. to George Potter: ""Sapho and Phao"".<br />Jan 9, 1628: Entered to Edward Blount (by order of a full court): ""Sapho, and Phao."""
83	None
84	"Apr 12, 1597: Transferred from Thomas Cadman (decd?) to Joan Broome: ""Campaspe"".<br />Aug 23, 1601: Transferred from Joan Broome decd. to George Potter: ""Campaspe"".<br />Jan 9, 1628: Entered to Edward Blount (by order of a full court): ""Campaste""."
85	None
